id,app_id,ts_id,wf_dc,sf_service,wf_acln,total_value,sample_count,avg_value,bucket_start,duration_mins,load_date,fetched_at
1,1SSP,AAAAAf95X4,WEC,1SSP_PROD_ACTIONQ,1SSP-A485BY,936,31,30.19354839,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
2,1SSP,AAAAAcnCPP8,WEC,1SSP_PROD_ACTIONQ,1SSP-A485BY,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
3,1SSP,AAAAAyYep-8,OXM,1SSP_BCP_ACTIONQ,1SSP-A485BY,1857,31,59.90322581,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
4,IGA,AAAAKh71PM,MAN,IGA_IIQ-Core,IGA-A2CDLL,13899,31,448.3548387,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
5,Q6WEB,AAAAAKmpT-c,STR,Q6WEB_NX,Q6WEB-A2G5E9,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
6,Q6WEB,AAAAAOv5S1k,MAN,Q6WEB_NX,Q6WEB-A2G5E9,118,12,9.833333333,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
7,Q6WEB,AAAAAlSpI3E,MAN,Q6WEB_NX,Q6WEB-A2G5E9,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
8,Q6WEB,AAAAACA1gOI,STR,Q6WEB_SOA,Q6WEB-ALYC9M,54,11,4.909090909,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
9,Q6WEB,AAAAALOMkS0,STR,Q6WEB_SOA,Q6WEB-ALYC9M,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
10,Q6WEB,AAAAAIF0yzQ,MAN,Q6WEB_SOA,Q6WEB-A2G5E9,86,10,8.6,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
11,Q6WEB,AAAAAFo6dnw,STR,Q6WEB_SOA,Q6WEB-ALYC9M,46,10,4.6,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
12,Q6WEB,AAAAADbbf5w,STR,Q6WEB_SOA,Q6WEB-ALYC9M,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
13,1GILT,AAAAAF28pI0,LEW,1GILT-dq-sql-generator-service,1GILT-AY6GZL,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
14,1GILT,AAAAADB3w2k,LEW,1GILT-dq-storagegrid-connect,1GILT-A7NX3K,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
15,1GILT,AAAAAljR59s,MAN,1GILT-dq-storagegrid-connect,1GILT-A7NX3K,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
16,1GILT,AAAAAPK50eA,GAR,1GILT-dq-sql-generator-service,1GILT-AY6GZL,13,1,13.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
17,1GILT,AAAAABc4A4k,MAN,1GILT-dq-sql-generator-service,1GILT-AY6GZL,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
18,1GILT,AAAAAFDfIUE,LEW,1GILT-dq-defects-processor-service,1GILT-AVWAS6,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
19,1GILT,AAAAAId3YA0,STR,1GILT-dq-storagegrid-connect,1GILT-A7NX3K,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
20,1GILT,AAAAAcvCD_g,LEW,1GILT-dq-requirements-parser,1GILT-ACOLR6,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
21,1GILT,AAAAADOX8ks,SHV,1GILT-saa-model-service,1GILT-AL5ZXN,2,1,2.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
22,1GILT,AAAAAB79SVg,STR,1GILT-dq-sql-generator-service,1GILT-AY6GZL,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
23,1GILT,AAAAABw0bSQ,MAN,1GILT-saa-model-service,1GILT-AL5ZXN,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
24,1GILT,AAAAALMsGSM,LEW,1GILT-dq-storagegrid-connect,1GILT-A7NX3K,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
25,1GILT,AAAAATwiDw,STR,1GILT-saa-model-service,1GILT-AL5ZXN,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
26,1GILT,AAAAACZiTcE,LEW,1GILT-saa-model-service,1GILT-AL5ZXN,0,0,0.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
27,BBSOA,AAAAAE16qPI,MAN,BBSOA_storedproc,BBSOA-A4LI3H,33,16,2.0625,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
28,BBSOA,AAAABBYsaEs,SHV,BBSOA_storedproc,BBSOA-AI4VHE,1,1,1.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
29,BBSOA,AAAAUIUZtIE,SHV,BBSOA_storedproc,BBSOA-AC6NZY,2,1,2.0,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
30,BBSOA,AAAAEQrwqk,TPE,BBSOA_creditbureau,BBSOA-AR26PK,8,6,1.333333333,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
