Instance,JOB_NAME,JOB_TYPE,AS_GROUP,AS_APPLIC,MACH_NAME,RUN_MACHINE,STATUS_TIMESTAMP,JOB_STATUS
PA3,1ISPZ_PA3PAC_LOADIN_C0001_ISP_BR_GL_FILES_BKP_ORA,CMD,,1ISP,EDA_LB_mrbz01prdctl1.aoe.virtual.net,epvra01a0016.wellsfargo.net,5/6/26 23:59,SUCCESS
PA3,AFTAP_PA3PDB_LOANSz_M8001_LOAD_CONF,BOX,AFTAP,AFTAP,,,5/6/26 23:59,SUCCESS
PA3,AFTAP_PA3PDB_LOANSz_C1001_BRKD_MGN_DR_INT_SCH_LOAD_CONF,CMD,AFTAP,AFTAP,EDA_LB_mrbz01prdctl1.aoe.virtual.net,epvra01a0011.wellsfargo.net,5/6/26 23:59,SUCCESS
PA3,1ISPZ_PA3PDC_EXTRCT_C0008_ISP_1MCR_GMI_ArrwGmiPositions,CMD,,1ISP,,epvra01a0011.wellsfargo.net,5/6/26 23:58,SUCCESS
PA3,AIMLP_PA3PDB_INGzzz_M8264_DCI_EIW_DIRECT_MAIL_DAILY_6DA,BOX,AIMLP,AIMLP,EDA_LB_mrbz01prdctl1.aoe.virtual.net,,5/6/26 23:58,SUCCESS
PA3,AIMLP_PA3PDC_INGzzz_CM264_DCI_EIW_DM_ADWDM_RSF_V1_DLY_FDR_RT,CMD,,AIMLP,,epvra01a0008.wellsfargo.net,5/6/26 23:58,SUCCESS
PA3,AFTAP_PA3PDB_BSLSTG_M8002_LOAD_CONF,BOX,AFTAP,AFTAP,EDA_LB_mrbz01prdctl1.aoe.virtual.net,,5/6/26 23:58,SUCCESS
PA3,AFTAP_PA3PDC_BSLSTG_C1002_BB_FIXD_INC_EUROPE_LOAD_CONF,CMD,AFTAP,AFTAP,,epvra01a0027.wellsfargo.net,5/6/26 23:58,SUCCESS
PA3,BDDMZ_PA3PDC_SBL010_C0001_SBL_NCINO_LOAD_STG,CMD,,BDDMETL,EDA_LB_mrbz01prdsql1.aoe.virtual.net,epvra01a0047.wellsfargo.net,5/6/26 23:58,SUCCESS
PA3,1ISPZ_PA3PDC_LOADIN_C0002_ISP_GMI_BUILD_POSITION_HIST_ARC,CMD,,1ISP,EDA_LB_mrbz01prdctl1.aoe.virtual.net,epvra01a0012.wellsfargo.net,5/6/26 23:58,SUCCESS
PA3,AFTAP_PA3PDB_BLMBRG_M8002_SPRKINGEST,BOX,AFTAP,AFTAP,,,5/6/26 23:58,SUCCESS
PA3,AFTAP_PA3PDC_BLMBRG_C1011_MTGE_CMBS_NAMR_SPRKINGEST,CMD,AFTAP,AFTAP,EDA_LB_mrbz02prdctl1.aoe.virtual.net,epvra01a0019.wellsfargo.net,5/6/26 23:58,SUCCESS
PA3,CAPZZ_PA3PDB_BDIZZZ_M8001_G2C_T_DM_PRTNR_RFRL_MADE,BOX,,CAP,,,5/6/26 23:58,SUCCESS
PA3,CAPZZ_PA3PDC_BDIZZZ_CM002_G2C_SFR_T_DM_PRTNR_RFRL_MADE,CMD,,CAP,EDA_LB_mrbz02prdctl1.aoe.virtual.net,epvra01a0017.wellsfargo.net,5/6/26 23:58,SUCCESS
PA3,AFTAP_PA3PDC_BSLSTG_C1004_BB_FIXD_INC_NAMR_LOAD_CONF,CMD,AFTAP,AFTAP,EDA_LB_mrbz03prdunx.1aoe.virtual.net,epvra01a0028.wellsfargo.net,5/6/26 23:58,SUCCESS
PA3,1ISPZ_PA3PDC_EXTRCT_C0007_ISP_1MBDA_GPSA_TRADER_POSITION,CMD,,1ISP,EDA_LB_mrbz01prdctl1.aoe.virtual.net,epvra01a0029.wellsfargo.net,5/6/26 23:58,SUCCESS
PA3,CAPZZ_PA3PDC_BDIZZZ_CM001_G2C_EXT_T_DM_PRTNR_RFRL_MADE,CMD,,CAP,,epvra01a0021.wellsfargo.net,5/6/26 23:58,SUCCESS
PA3,1ISPZ_PA3PAB_LOADIN_M8006_ISP_GL_BOX,BOX,,1ISP,,,5/6/26 23:58,SUCCESS
PA3,1ISPZ_PA3PAB_EXTRCT_B0007_ISP_GL_INTELLIMATCH_BOX,BOX,,1ISP,,,5/6/26 23:58,SUCCESS
PA3,1ISPZ_PA3PAB_SENDTO_B0020_ISP_1RIB_INTELLIMATCH_RIE,BOX,,1ISP,,,5/6/26 23:58,SUCCESS
