Instance,JOB_NAME,JOB_TYPE,AS_GROUP,AS_APPLIC,MACH_NAME,RUN_MACHINE,STATUS_TIMESTAMP,JOB_STATUS
PC3,1RDR.RBG_LAST_RCVD_INSTR_FILES_010.C,CMD,,1RDR,p1rdrapp.wellsfargo.com,p1rdrapp.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,CMINT.PHNIX.SSIS.LastLogin.ProcessAndDisable.C,CMD,Phoenix,CMINT,cmint_ssis_prod.virtual.net,cppwd01v0133.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,CMINT.CIBMKT.SSIS.Batch.Process_LastLoginAndDisable.dly.C,CMD,CIBMKT,CMINT,cmint_ssis_prod.virtual.net,cppwd01v0133.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,1ZIS.CID_VALIDATE.C,CMD,,1ZMC,1ZMC_Prod_LNX.virtual.net,crvra01a0080.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,GAMS.LEND.AIMS.NAM_CUSTEXT.C,CMD,,GAMSTD,GAMS_LEND_PRI_Autosys_Machine.virtual.net,wrva9a1080.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,FACS_NT_AFS_EDS_AFS_ADDL_IND_DATA,CMD,,1FIS,FACS_batch_UNIX.virtual.net,p1fs1etl.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,CDF.SV.DLY.IDS_SETLMNT_DEBIT_TRANS_MAIN.B,BOX,,CDF,,,5/6/26 23:59,SUCCESS
PC3,CDF.SV.DLY.IDS_SETLMNT_RETENTION_PRG.C,CMD,,CDF,CDF_batch_SV.virtual.net,rppra01v0019.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,1RDR.GC1010-RBG_STD_TXS_002_SECURITY_FND_LOAD_DASHBOARD.C,CMD,,1RDR,p1rdrapp.wellsfargo.com,p1rdrapp.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,1RDR.RBG_STD_TXS_002_SECURITY_FND_LOAD.B,BOX,,1RDR,,,5/6/26 23:59,SUCCESS
PC3,CLSI_IICS_IHUB_INBOUND_GRM_JUNC_INT,CMD,,CLSI,CLSI_iics_batch_srvc.virtual.net,crvra99a0389.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,1RDR.RBG_STD_TXS_002_SECURITY_FND_LOAD_010.C,CMD,,1RDR,p1rdrapp.wellsfargo.com,p1rdrapp.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,FACS_NT_AFS_EDS_AFS_INT_BILL,CMD,,1FIS,FACS_batch_UNIX.virtual.net,p1fs1etl.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,1QFC_QS_FEED_LOANIQ_ZONE1_GENERATEPP,CMD,,1QFC,1QFC_BATCH02.virtual.net,1qfc-qfcr-prod2.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,CLSI_IHUB_INBOUND_OBLIGOR_BX,BOX,,CLSI,,,5/6/26 23:59,SUCCESS
PC3,CLSI_IICS_IHUB_INBOUND_OBLIGOR_NCINO_LOAD,CMD,,CLSI,CLSI_iics_batch_srvc.virtual.net,crvra99a0389.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,1RDR.GC1027-FND_LOAD-RBG_STD_TXS_036_SECURI_DASHBOARD.C,CMD,,1RDR,p1rdrapp.wellsfargo.com,p1rdrapp.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,CMINT.CVCRM.SSIS.Batch.Process_LastLoginAndDisable.dly.C,CMD,Common,CMINT,cmint_ssis_prod.virtual.net,cppwd01v0133.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,CMINT.GWSDP.SSIS.LastLogin.ProcessAndDisable.dly.C,CMD,GWSDP,CMINT,cmint_ssis_prod.virtual.net,cppwd01v0133.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,1RDR.RBG_STD_TXS_036_SECURITY_FND_LOAD.B,BOX,,1RDR,,,5/6/26 23:59,SUCCESS
PC3,1RDR.RBG_STD_TXS_036_SECURITY_FND_LOAD_010.C,CMD,,1RDR,p1rdrapp.wellsfargo.com,p1rdrapp.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,FACS_NT_AFS_EDS_AFS_COMBINED_REC,CMD,,1FIS,FACS_batch_UNIX.virtual.net,p1fs1etl.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,GAMS.LEND.AIMS.NAM_IMPORTLDG.C,CMD,,GAMSTD,GAMS_LEND_PRI_Autosys_Machine.virtual.net,wrva9a1080.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,1QFC_QS_FEED_LOANIQ_ZONE1_SANITIZE,CMD,,1QFC,1QFC_BATCH02.virtual.net,1qfc-qfcr-prod2.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,1EDG.PRI.WFHM_USER_FILES_03.C,CMD,1EDG,1EDG,1EDG_NIGHT03.virtual.net,cppwa10a0329.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,1QFC_QS_FEED_LOANIQ_ZONE1_FILEWATCHER,CMD,,1QFC,1QFC_BATCH02.virtual.net,1qfc-qfcr-prod2.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,AFSO.rpt_ref_snap_wtr.C,CMD,,AFSO,AFSO_live_db.virtual.net,cppra99a0187.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,RRTOO.cf_prod_purge_work_tables.B,BOX,,RRTOO,,,5/6/26 23:59,SUCCESS
PC3,1EDG.PRI.WFHM_USER_FILES_02.C,CMD,1EDG,1EDG,1EDG_NIGHT03.virtual.net,cppra23a0500.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,GAMS.LEND.AIMS.NAM_CLEANUP.C,CMD,,GAMSTD,GAMS_LEND_PRI_Autosys_Machine.virtual.net,wrva9a1080.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,RRTOO.cf_prod_pc_table_maint_purge.C,CMD,,RRTOO,RRTOO_utility.virtual.net,wpvra97a1024.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,RRTOO.cf_prod_purge_comments.C,CMD,,RRTOO,RRTOO_utility.virtual.net,wpvra97a1024.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,RRTOO.cf_prod_pc_purge_appl_domain.C,CMD,,RRTOO,RRTOO_utility.virtual.net,wpvra97a1024.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,BDAPS.BDAPS08.clear_forg_checkout_apps.C,CMD,,BDAPS,BDAPS.BDAPS08.virtual.net,sblwpvraa4471.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,1EDG.PRI.WFHM_USER_FILES_01.C,CMD,1EDG,1EDG,1EDG_NIGHT03.virtual.net,cppra23a0500.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,1EDG.PRI.WFHM_USER_FILES_00.C,CMD,1EDG,1EDG,1EDG_NIGHT03.virtual.net,cppra23a0500.wellsfargo.com,5/6/26 23:59,SUCCESS
PC3,EPLM.SV.DLY.FORM100.UPDATE.C,CMD,,EPLM,EPLM_SV.virtual.net,,5/6/26 23:59,ACTIVATED
PC3,EPLM.SV.DLY.FORM100.UPDATE.B,BOX,,EPLM,,,5/6/26 23:59,RUNNING
PC3,EPLM.OX.DLY.FTD.ARCHIVAL.PROCESS.B,BOX,,EPLM,,,5/6/26 23:59,RUNNING
PC3,EPLM.OX.DLY.FTD.ARCHIVAL.PROCESS.C,CMD,,EPLM,,,5/6/26 23:59,RUNNING
PC3,EPLM.SV.DLY.FTD.ARCHIVAL.PROCESS.C,CMD,,EPLM,EPLM_SV.virtual.net,,5/6/26 23:59,ACTIVATED
PC3,EPLM.OX.DLY.FTD.ARCHIVAL.PROCESS.C,CMD,,EPLM,EPLM_OX.virtual.net,,5/6/26 23:59,ACTIVATED
PC3,EPLM.OX.DLY.FORM100.UPDATE.C,CMD,,EPLM,,,5/6/26 23:59,RUNNING
PC3,EPLM.OX.DLY.FORM100.UPDATE.B,BOX,,EPLM,,,5/6/26 23:59,RUNNING
PC3,EPLM.OX.DLY.FTD.ARCHIVAL.PROCESS.C,CMD,,EPLM,EPLM_OX.virtual.net,,5/6/26 23:58,SUCCESS
PC3,FACS NT CFACSDM LOANIO ZONE1 BOX,BOX,,1FIS,,,,
