Instance,JOB_NAME,JOB_TYPE,AS_GROUP,AS_APPLIC,MACH_NAME,RUN_MACHINE,STATUS_TIMESTAMP,JOB_STATUS
PG3,MDSSZ_156PAC_LPDzzz_C0003_MDS_NDM_AVRO_JOB3,CMD,DWMDSS,MDSS,EDA_LB_1aoenaprdndm2.virtual.net,cppra89a0156.wellsfargo.com,5/6/26 23:59,SUCCESS
PG3,MDSSZ_PG3PMB_KEYENG_MB001_MDS_STORES_LKPOUTL_BQ,BOX,DWMDSS,MDSS,,,5/6/26 23:59,SUCCESS
PG3,MDSSZ_PG3PMC_KEYENG_L0003_MDS_STORES_MERGE_BQ,CMD,DWMDSS,MDSS,EDA_LB_04prdntl1.aoe.virtual.net,cppra00a0156.wellsfargo.com,5/6/26 23:59,SUCCESS
PG3,IHUBZ_WHLPDB_GBF204_B0001_OFSAA,BOX,IHUB,IHUB,,,5/6/26 23:59,SUCCESS
PG3,IHUBZ_WHLPDB_GBF20L_C0001_OFSAA,CMD,IHUB,IHUB,,,5/6/26 23:59,SUCCESS
PG3,IHUBZ_WHLPDB_GBF20L_C0002_OFSAA_DISTRIBUTION,CMD,IHUB,IHUB,EDA_LB_eappzzprdntl1.aoe.virtual.net,cppra00a0476.wellsfargo.com,5/6/26 23:59,SUCCESS
PG3,1MIDZ_PG3PDB_HRZNzz_MB001_MID,BOX,SLA-WF377,1MID,,,5/6/26 23:58,SUCCESS
PG3,1MIDZ_PG3PDB_HRZNzz_B0005_MID,BOX,SLA-WF377,1MID,,,5/6/26 23:56,SUCCESS
PG3,1MIDZ_PG3PDB_HRZNzz_P0002_MID_CS,CMD,SLA-WF377,1MID,EDA_LB_arbz02prdntl1.aoe.virtual.net,epvra02a0018.wellsfargo.com,5/6/26 23:55,SUCCESS
PG3,EDQEZ_156PDC_WCICNF_C0022_WCI_GRP1,CMD,EnterpriseD,EDQZ,EDA_LB_arbz02prdntl1.aoe.virtual.net,cppra81a0156.wellsfargo.com,5/6/26 23:55,SUCCESS
PG3,EIWZZ_DBAPDB_SPOOLZ_MB001,BOX,TDDBA,EIW,,,5/6/26 23:55,SUCCESS
PG3,EIWZZ_DBAPDB_SPOOLZ_C0001,CMD,TDDBA,EIW,TDINF_LB_dbamgmt.virtual.net,vppra99a0928.wellsfargo.com,5/6/26 23:55,SUCCESS
PG3,IHUBZ_WHLPDB_BRDRDG_C0004_BATCH_INCREMENT,CMD,IHUB,IHUB,EDA_LB_eappzzprdntl1.aoe.virtual.net,wppra07a0337.wellsfargo.com,5/6/26 23:54,SUCCESS
PG3,EDQEZ_156PDC_IHUCNF_C0011_IHU_UQSL,CMD,EnterpriseD,EDQZ,EDA_LB_eaoecbprdntl3.virtual.net,cppra79a0156.wellsfargo.com,5/6/26 23:54,SUCCESS
PG3,IHUBZ_WHLPDB_BRDRDG_C0003_FILE_VALIDATION,CMD,IHUB,IHUB,EDA_LB_arbz02prdntl1.aoe.virtual.net,wppra07a0337.wellsfargo.com,5/6/26 23:54,SUCCESS
PG3,1CTEZ_156PDC_MFXMBR_S0002_SHB,CMD,DWAT4,1CTE,EDA_LB_1aoecbprdntl2.virtual.net,epvra02a0018.wellsfargo.com,5/6/26 23:53,SUCCESS
PG3,C2TIS_PG3PDC_ISBPzz_MB002_C2T_daily_wfr_pmt_B,BOX,,C2TIS,,,5/6/26 23:53,SUCCESS
PG3,C2TIS_PG3PDC_ISBPzz_E0001_C2T_end_wfr_pmt_C,CMD,,C2TIS,EDA_LB_arbz03prdntl1.aoe.virtual.net,epvra02a0030.wellsfargo.com,5/6/26 23:53,SUCCESS
PG3,C2TIS_PG3PDC_ISBPzz_C0007_C2T_user_notify_wfr_pmt_C,CMD,,C2TIS,EDA_LB_01prdndm.aoe.virtual.net,** NOEXEC **,5/6/26 23:53,UNKNOWN (16)
PG3,C2TIS_PG3PDC_ISBPzz_B0000_C2T_wfr_pmt_grpD_B,BOX,,C2TIS,,,5/6/26 23:53,SUCCESS
PG3,C2TIS_PG3PDC_ISBPzz_CL000_C2T_wfr_pmt_C,CMD,,C2TIS,EDA_LB_arbz02prdntl1.aoe.virtual.net,** NOEXEC **,5/6/26 23:53,UNKNOWN (16)
PG3,C2TIS_PG3PDC_ISBPzz_RL000_C2T_wfr_pmt_bcp_C,CMD,,C2TIS,EDA_LB_04prdntl1.aoe.virtual.net,** NOEXEC **,5/6/26 23:53,UNKNOWN (16)
PG3,C2TIS_PG3PDC_ISBPzz_RL000_C2T_wfr_pmt_bcp_bcp_s_C,CMD,,C2TIS,EDA_LB_02prdntl1.aoe.virtual.net,** NOEXEC **,5/6/26 23:53,UNKNOWN (16)
PG3,C2TIS_PG3PDC_ISBPzz_RL000_C2T_bcp_bcp_sync_C,CMD,,C2TIS,EDA_LB_01prdntl1.aoe.virtual.net,** NOEXEC **,5/6/26 23:53,UNKNOWN (16)
PG3,C2TIS_PG3PDC_ISBPzz_SP000_C2T_bcp_prep_grpD_C,CMD,,C2TIS,EDA_LB_arbz02prdntl1.aoe.virtual.net,** NOEXEC **,5/6/26 23:53,UNKNOWN (16)
PG3,C2TIS_PG3PDC_ISBPzz_SP000_C2T_wfr_pmt_C,CMD,,C2TIS,EDA_LB_arbz02prdntl1.aoe.virtual.net,** NOEXEC **,5/6/26 23:53,UNKNOWN (16)
PG3,C2TIS_PG3PDC_ISBPzz_SP000_C2T_wfr_pmt_prep_grpD_C,CMD,,C2TIS,EDA_LB_arbz04prdntl1.aoe.virtual.net,** NOEXEC **,5/6/26 23:53,UNKNOWN (16)
PG3,C2TIS_PG3PDC_ISBPzz_SL000_C2T_wfr_pmt_C,CMD,,C2TIS,EDA_LB_arbz02prdntl1.aoe.virtual.net,epvra02a0019.wellsfargo.com,5/6/26 23:53,SUCCESS
PG3,EDAMH_256PDC_MAINzz_C0001_AMH_DetectiveControl_Measurements,CMD,EDA-Metada,EDAMH,EDA_LB_1aoecbprdunx.virtual.net,cppra05a0256.wellsfargo.com,5/6/26 23:52,SUCCESS
PG3,EDAMH_256PDC_MAINzz_MB001_AMH_DetectiveControl_Measurements,BOX,EDA-Metada,EDAMH,,,5/6/26 23:52,SUCCESS
PG3,IHUBZ_WHLPDB_BRDRDG_C0002_DATE_VALIDATION,CMD,IHUB,IHUB,EDA_LB_eappzzprdntl1.aoe.virtual.net,wppra07a0337.wellsfargo.com,5/6/26 23:52,SUCCESS
PG3,C2TIS_PG3PDC_ISBPzz_PN000_C2T_wfr_pmt_C,CMD,,C2TIS,EDA_LB_arbz03prdntl1.aoe.virtual.net,epvra02a0028.wellsfargo.com,5/6/26 23:52,SUCCESS
PG3,EDAMH_256PDC_FIRSTz_C2301_WEDNESDAY_TERADATA,CMD,EDA-Metada,EDAMH,EDA_LB_1aoecbprdunx.virtual.net,cppra05a0256.wellsfargo.com,5/6/26 23:52,SUCCESS
PG3,IHUBZ_WHLPDB_BRDRDG_C0001_FILE_WATCHER,CMD,IHUB,IHUB,EDA_LB_eappzzprdntl1.aoe.virtual.net,wppra07a0337.wellsfargo.com,5/6/26 23:52,SUCCESS
PG3,C2TIS_PG3PDC_ISBPzz_FV000_C2T_wfr_pmt_C,CMD,,C2TIS,EDA_LB_arbz02prdndm1.aoe.virtual.net,epvra02a0003.wellsfargo.com,5/6/26 23:52,SUCCESS
PG3,1CTEZ_156PDC_MFXMBR_S0001_SHB,CMD,DWAT4,1CTE,EDA_LB_1aoecbprdntl3.virtual.net,cppra76a0156.wellsfargo.com,5/6/26 23:51,SUCCESS
