ReplicaName,Role,HealthState
APWD01A0015\WMTOG_PROD,Primary,Success
ARWD01A0015\WMTOG_BCP,Secondary,Success
CPPWD01A0147\P1SAR1,Secondary,Success
CPPWD01A0147\P1SAR1,Secondary,Success
CPPWD01A0153,Secondary,Success
CPPWD01A0154,Primary,Success
CPPWD01A0165\PROD,Secondary,Warning
CPPWD01A0166\PROD,Secondary,Success
CPPWD01A0174\EBTPPROD01,Resolving,Success
cppwd01a0183,Primary,Success
CPPWD01A1057\P1EBG1,Primary,Success
CPPWD01V0141\PROD,Primary,Success
CPPWD02A0147\P1SAR2,Secondary,Success
CPPWD02A0147\P1SAR2,Secondary,Success
CPPWD02A0153,Secondary,Success
CPPWD02A0154,Secondary,Success
CPPWD02A0165\PROD,Primary,Warning
CPPWD02A0166\PROD,Primary,Success
CPPWD02A0174\EBTPPROD02,Secondary,Success
cppwd02a0183,Secondary,Success
CPPWD02A1057\P1EBG1,Secondary,Success
CPWMD01A200\RDBPROD,Primary,Success
CPWD01A207\TRIAL,Secondary,Success
CPWD01A0212,Primary,Success
CPWD01A0214,Secondary,Success
CPWD02A207\TRIAL,Secondary,Success
CPWD02A0212,Secondary,Success
CPWD02A0214,Secondary,Success
CPWD03A0212,Secondary,Success
CPWD04A0212,Primary,Success
CPWD05A0212,Primary,Success
CPWD06A0212,Secondary,Success
CPWD07A0212,Primary,Success
CPWD08A0212,Secondary,Success
CPWD09A0212,Secondary,Success
CPWD10A0212,Primary,Success
cpvwd98a3878,Primary,Success
cpvwd98a3879,Secondary,Success
cpvwd98a3880,Primary,Success
cpvwd99a3878,Secondary,Success
cpvwd99a3879,Secondary,Success
cpvwd99a3880,Secondary,Success
CRPWD01A0147\P1SAR1,Secondary,Success
CRPWD01A0147\P1SAR1,Secondary,Success
CRPWD01A0153,Primary,Success
