name,enabled,tenant,app_id,controller,pool,site,zone,neighborhood
10am-prod-vip-01,1,10am-prod,10AM,gslb-ctrl01.wellsfargo.net,10am-prod-pool,GA-PRD,std,NH01
10am-prod-vip-02,1,10am-prod,10AM,gslb-ctrl02.wellsfargo.net,10am-prod-pool-ma,MA-PRD,std,NH02
1authb-prod-vip-01,1,1authb-prod,1AUTHB,gslb-ctrl01.wellsfargo.net,1authb-prod-pool,GA-PRD,std,NH01
1authb-prod-vip-02,1,1authb-prod,1AUTHB,gslb-ctrl02.wellsfargo.net,1authb-prod-pool-ma,MA-PRD,std,NH02
1ssp-prod-vip-01,1,1ssp-prod,1SSP,gslb-ctrl01.wellsfargo.net,1ssp-prod-pool,GA-PRD,std,NH01
1ssp-prod-vip-02,1,1ssp-prod,1SSP,gslb-ctrl02.wellsfargo.net,1ssp-prod-pool-ma,MA-PRD,std,NH02
capmu-prod-vip-01,1,capmu-prod,CAPMU,gslb-ctrl01.wellsfargo.net,capmu-prod-pool,GA-PRD,std,NH01
capmu-prod-vip-02,1,capmu-prod,CAPMU,gslb-ctrl02.wellsfargo.net,capmu-prod-pool-ma,MA-PRD,std,NH02
u6170052-prod-vip-01,1,u6170052-prod,U6170052,gslb-ctrl01.wellsfargo.net,u6170-prod-pool,GA-PRD,std,NH01
10am-uat-vip-01,1,10am-uat,10AM,gslb-uat-ctrl01.wellsfargo.net,10am-uat-pool,GA-UAT,std,NH01
1ssp-uat-vip-01,1,1ssp-uat,1SSP,gslb-uat-ctrl01.wellsfargo.net,1ssp-uat-pool,GA-UAT,std,NH01
