cluster,env,lob,namespace,neighborhood,pod
dcglnh01ocp.wellsfargo.net,prod,cto,ocp-unit-test,NH01,ocp-unit-test-api-pod-7d4b9f
dcglnh01ocp.wellsfargo.net,prod,cto,1ssp-prod,NH01,1ssp-prod-web-pod-6c8f2a
dcglnh01ocp.wellsfargo.net,prod,cto,1ssp-prod,NH01,1ssp-prod-api-pod-4e1b7c
dcglnh02ocp.wellsfargo.net,prod,cto,1ssp-prod,NH02,1ssp-prod-worker-pod-9a3d5e
dcglnh01ocp.wellsfargo.net,prod,enterprise,1authb-prod,NH01,1authb-prod-auth-pod-2f8c4d
dcglnh01ocp.wellsfargo.net,prod,enterprise,1authb-prod,NH01,1authb-prod-token-pod-5b9a1f
dcglnh02ocp.wellsfargo.net,prod,enterprise,1authb-prod,NH02,1authb-prod-auth-pod-7e3b8c
dcglnh01ocp.wellsfargo.net,prod,cto,10am-prod,NH01,10am-ctds-pod-3c7f9a
dcglnh01ocp.wellsfargo.net,prod,cto,10am-prod,NH01,10am-access-pod-8d2e4b
dcglnh02ocp.wellsfargo.net,prod,cto,10am-prod,NH02,10am-mgmt-pod-1a6f3c
dcmsnh01ocp.wellsfargo.net,uat,cto,ocp-unit-test,NH01,ocp-unit-test-api-uat-pod-4b7c2e
dcmsnh01ocp.wellsfargo.net,uat,cto,1ssp-uat,NH01,1ssp-uat-web-pod-9f3d1a
dcmsnh01ocp.wellsfargo.net,uat,cto,1ssp-uat,NH01,1ssp-uat-api-pod-6c8e2b
dcmsnh01ocp.wellsfargo.net,uat,enterprise,capmu-uat,NH01,capmu-uat-core-pod-2d5f7c
dcglnh01ocp.wellsfargo.net,prod,enterprise,capmu-prod,NH01,capmu-prod-core-pod-4a8b3e
dcglnh01ocp.wellsfargo.net,prod,enterprise,capmu-prod,NH01,capmu-prod-api-pod-7f2c9d
dcglnh02ocp.wellsfargo.net,prod,enterprise,capmu-prod,NH02,capmu-prod-worker-pod-1e5b4a
