app_id,node_name,app_full_name,machine_name,tier_name
10AM,AWOLDWK00004Y-10am,10AM_CTDSAccessManagementTool,AWOLDWK00004Y,10AM-PROD-AZ
10AM,AWOLDWK000050-10am,10AM_CTDSAccessManagementTool,aw0ldwk000050,10AM-PROD-AZ
10AM,AWOLDWK00005C-10am,10AM_CTDSAccessManagementTool,aw0ldwk00005C,10AM-PROD-AZ
10AM,AWOLDWK00005F-10am,10AM_CTDSAccessManagementTool,aw0ldwk00005F,10AM-PROD-AZ
10AM,AWOLDWK00005H-10am,10AM_CTDSAccessManagementTool,aw0ldwk00005H,10AM-PROD-AZ
10AM,AWOLDWK00005M-10am,10AM_CTDSAccessManagementTool,aw0ldwk00005M,10AM-PROD-AZ
10AM,AWOLDWK00005O-10am,10AM_CTDSAccessManagementTool,aw0ldwk00005O,10AM-PROD-AZ
10AM,AWOLDWK00005U-10am,10AM_CTDSAccessManagementTool,AWOLDWK00005U,10AM-PROD-AZ
10AM,AWOLDWK000068-10am,10AM_CTDSAccessManagementTool,aw0ldwk000068,10AM-PROD-AZ
10AM,AWOLDWK00006M-10am,10AM_CTDSAccessManagementTool,aw0ldwk00006M,10AM-PROD-AZ
10FW,aw0ldwk000075-10am,10AM_CTDSAccessManagementTool,aw0ldwk000075,10AM-PROD-AZ
10FW,STAR-prod-gar04--1,10FW_SecurityServicesDatabase,45730d9107ca,STAR-PROD-OCP
10FW,STAR-prod-gar04--2,10FW_SecurityServicesDatabase,e767ee422bce,STAR-PROD-OCP
10FW,STAR-prod-lew04--2,10FW_SecurityServicesDatabase,0553d019f324,STAR-PROD-OCP
10FW,STAR-prod-man04--1,10FW_SecurityServicesDatabase,99bc4f136181,STAR-PROD-OCP
