Instance,JOB_NAME,JOB_TYPE,AS_GROUP,AS_APPLICATION,MACH_NAME,RUN_MACHINE,STATUS_TIMESTAMP,JOB_STATUS
PA3,1ISPZ_PA3PAC_LOADIN_C0001_ISP_BR_GL_FILES_BKP_ORA,CMD,,1ISP,EDA_LB_mepvra01a0,,5/6/2026 23:59,SUCCESS
PA3,AFTAP_PA3PDB_LOANSz_MB001_LOAD_CONF,BOX,AFTAP,AFTAP,,,5/6/2026 23:59,SUCCESS
PA3,AFTAP_PA3PDC_LOANSz_C1001_BRKG_MGN_DR_INT_SCH_LOAD_CONF,CMD,AFTAP,AFTAP,EDA_LB_mepvra01a0,,5/6/2026 23:59,SUCCESS
PA3,1ISPZ_PA3PDC_EXTRCT_C0008_ISP_1MCR_GMI_ArrwGMIPositions,CMD,,1ISP,EDA_LB_mepvra01a0,,5/6/2026 23:58,SUCCESS
PA3,AIMLP_PA3PDB_INGzzz_MB264_DCI_EIW_DIRECT_MAIL_DAILY_6DA,BOX,,AIMLP,,,5/6/2026 23:58,SUCCESS
PA3,AIMLP_PA3PDC_INGzzz_CM264_DCI_EIW_DM_ADWDM_RSF_V1_DLY_FDR_R,CMD,,AIMLP,EDA_LB_mepvra01a0,,5/6/2026 23:58,SUCCESS
PA3,AFTAP_PA3PDB_BSLSTG_MB002_LOAD_CONF,BOX,AFTAP,AFTAP,,,5/6/2026 23:58,SUCCESS
PA3,AFTAP_PA3PDC_BSLSTG_C1002_BB_FIXD_INC_EUROPE_LOAD_CONF,CMD,AFTAP,AFTAP,EDA_LB_mepvra01a0,,5/6/2026 23:58,SUCCESS
PA3,BDDMZ_PA3PDC_SBL010_C0001_SBL_NCINO_LOAD_STG,CMD,,BDDMETL,EDA_LB_mepvra01a0,,5/6/2026 23:58,SUCCESS
PA3,1ISPZ_PA3PDC_LOADIN_C0002_ISP_GMI_BUILD_POSITION_HIST_ARC,CMD,,1ISP,EDA_LB_mepvra01a0,,5/6/2026 23:58,SUCCESS
PA3,AFTAP_PA3PDB_BLMBRG_MB002_SPRKINGEST,BOX,AFTAP,AFTAP,,,5/6/2026 23:58,SUCCESS
PA3,AFTAP_PA3PDC_BLMBRG_C1011_MTGE_CMBS_NAMR_SPRKINGEST,CMD,AFTAP,AFTAP,EDA_LB_mepvra01a0,,5/6/2026 23:58,SUCCESS
PA3,CAPZZ_PA3PDC_BDIZZZ_MB001_G2C_T_DM_PRTNR_RFRL_MADE,BOX,AFTAP,CAP,,,5/6/2026 23:58,SUCCESS
PA3,CAPZZ_PA3PDC_BDIZZZ_CM002_G2C_SFR_T_DM_PRTNR_RFRL_MADE,CMD,AFTAP,CAP,EDA_LB_mepvra01a0,,5/6/2026 23:58,SUCCESS
PA3,AFTAP_PA3PDC_BSLSTG_C1004_BB_FIXD_INC_NAMR_LOAD_CONF,CMD,AFTAP,AFTAP,EDA_LB_mepvra01a0,,5/6/2026 23:58,SUCCESS
