ReplicaName,Role,HealthState
APVWD01A0015\WMTOG_PROD,Primary,Success
ARVWD01A0015\WMTOG_BCP,Secondary,Success
CPPWD01A0147\P1SAR1,Secondary,Success
CPPWD01A0147\P1SAR1,Secondary,Success
CPPWD01A0153,Secondary,Success
CPPWD01A0154,Primary,Success
CPPWD01A0165\PROD,Secondary,Warning
CPPWD01A0166\PROD,Secondary,Success
CPPWD01A0174\EBTPROD01,Resolving,Success
cppwd01a0183,Primary,Success
CPPWD01A1057\P1EBG1,Primary,Success
CPPWD01V0141\PROD,Primary,Success
CPPWD02A0147\P1SAR2,Secondary,Success
CPPWD02A0147\P1SAR2,Secondary,Success
CPPWD02A0153,Secondary,Success
