id,app_id,ts_id,wf_dc,sf_service,wf_acin,total_value,sample_count,avg_value,bucket_start,duration_mins,load_date,fetched_at
1,1SSP,AAAAAf9i5x4,WEC,1SSP_PROD_ACTIONQ,1SSP-A485BY,936,31,30.19354839,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
2,1SSP,AAAAACnCPP8,WEC,1SSP_PROD_ACTIONQ,1SSP-A485BY,0,0,,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
3,1SSP,AAAAAJyep-8,OXM,1SSP_BCP_ACTIONQ,1SSP-A485BY,1857,31,59.90322581,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
4,IGA,AAAAAKh71PM,MAN,IGA_IIQ-Core,IGA-A2CDLL,13899,31,448.3548387,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
5,Q6WEB,AAAAAKmPT-c,STR,Q6WEB_NX,Q6WEB-A2GSE9,0,0,,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
6,Q6WEB,AAAAOv5S1k,MAN,Q6WEB_NX,Q6WEB-A2GSE9,118,12,9.833333333,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
7,Q6WEB,AAAAAAlSpl3E,MAN,Q6WEB_NX,Q6WEB-A2GSE9,0,0,,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
8,Q6WEB,AAAAACA1gOI,MAN,Q6WEB_SOA,Q6WEB-ALYC9M,54,11,4.909090909,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
9,Q6WEB,AAAAAAl0mxS0,MAN,Q6WEB_SOA,Q6WEB-ALYC9M,0,0,,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
10,Q6WEB,AAAAAIF0yzQ,STR,Q6WEB_NX,Q6WEB-A2GSE9,86,10,8.6,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
11,Q6WEB,AAAAAFg6dnw,STR,Q6WEB_SOA,Q6WEB-ALYC9M,46,10,4.6,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
12,Q6WEB,AAAAADbbfSw,STR,Q6WEB_SOA,Q6WEB-ALYC9M,0,0,,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
13,1GILT,AAAAAF2Bpl0,LEW,1gilt-dq-sql-generator,1GILT-AY6GZL,0,0,,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
14,1GILT,AAAAADB3W2k,LEW,1gilt-dq-storagegrid-,1GILT-A7NX3K,0,0,,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
15,1GILT,AAAAAjGr59s,MAN,1gilt-dq-storagegrid-,1GILT-A7NX3K,0,0,,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
16,1GILT,AAAAAPKs0eA,GAR,1gilt-dq-storagegrid-,1GILT-A7NX3K,13,1,13,2026-05-21 16:30:00,30,2026-05-21,2026-05-21 17:16:14
