name,enabled,tenant,app_id,controller,pool,site,zone,neighborhood
stepweb_443,1,1sep-prod,1sep,dcgl.pgen.agcp2.adcs.wellsfargo.net,stepweb_443,dcgl,std,NH01
stepweb_443,1,1sep-prod,1sep,dclv.pgen.agcp2.adcs.wellsfargo.net,stepweb_443,dclv,std,NH01
stepweb_443,1,1sep-prod,1sep,dcms.pgen.agcp2.adcs.wellsfargo.net,stepweb_443,dcms,std,NH01
stepweb_443,1,1sep-prod,1sep,dcst.pgen.agcp2.adcs.wellsfargo.net,stepweb_443,dcst,std,NH01
stepweb_api_443,1,1sep-prod,1sep,dcgl.pgen.agcp2.adcs.wellsfargo.net,stepweb_api_443,dcgl,std,NH01
stepweb_api_443,1,1sep-prod,1sep,dclv.pgen.agcp2.adcs.wellsfargo.net,stepweb_api_443,dclv,std,NH01
stepweb_api_443,1,1sep-prod,1sep,dcms.pgen.agcp2.adcs.wellsfargo.net,stepweb_api_443,dcms,std,NH01
stepweb_api_443,1,1sep-prod,1sep,dcst.pgen.agcp2.adcs.wellsfargo.net,stepweb_api_443,dcst,std,NH01
star_443,1,10fw-prod,10fw,dcgl.pgen.agcp1.adcs.wellsfargo.net,star_443,dcgl,std,NH01
star_443,1,10fw-prod,10fw,dclv.pgen.agcp1.adcs.wellsfargo.net,star_443,dclv,std,NH01
star_443,1,10fw-prod,10fw,dcms.pgen.agcp1.adcs.wellsfargo.net,star_443,dcms,std,NH01
star_443,1,10fw-prod,10fw,dcst.pgen.agcp1.adcs.wellsfargo.net,star_443,dcst,std,NH01
divestApps-oxm_17a1_443,,uncategorized,17a1,vl135albirm105-1.wellsfargo.com,divestApps-oxm_17a1_443,,,
divestApps-sv2_17a1_443,,uncategorized,17a1,vl166mnsvdc104-1.wellsfargo.com,divestApps-sv2_17a1_443,,,
myapps-director-sls_17a1_prod_443,,uncategorized,17a1,vl115ncwnsa102-1.wellsfargo.com,myapps-director-sls_17a1_prod_443,,,
myapps-director-sv2_17a1_prod_443,,uncategorized,17a1,vl164mnsvdc104-1.wellsfargo.com,myapps-director-sv2_17a1_prod_443,,,
