agent_hostname,cl_name,cl_role,collector_id,env,group_id,hostname,instance,job,mongodb_ver,org_id,process_port,process_type,replica_state,rs_nm,rs_state,Value
m0dccapmua,Cluster_0,configsvr,m0dccapmua,uat_ngdc,68b260e1047,m0dccapmua,m0dccapmua,CAPMU,8.0.19,679c18e93b3,28000,config,primary,csrs_d0capm,1,1
m0dccapmua,Cluster_0,configsvr,m0dccapmua,uat_ngdc,68b260e1047,m0dccapmua,m0dccapmua,CAPMU,8.0.19,679c18e93b3,28000,config,secondary,csrs_d0capm,2,1
m0dccapmua,Cluster_0,mongos,m0dccapmua,uat_ngdc,68b260e1047,m0dccapmua,m0dccapmua,CAPMU,8.0.19,679c18e93b3,26000,mongos,none,none,,1
m0dccapmua,Cluster_0,shardsvr,m0dccapmua,uat_ngdc,68b260e1047,m0dccapmua,m0dccapmua,CAPMU,8.0.19,679c18e93b3,29000,mongod,primary,sh1_dcapmu,1,1
m0dccapmua,Cluster_0,shardsvr,m0dccapmua,uat_ngdc,68b260e1047,m0dccapmua,m0dccapmua,CAPMU,8.0.19,679c18e93b3,29000,mongod,secondary,sh2_dcapmu,2,1
m0dccapmua,Cluster_0,shardsvr,m0dccapmua,uat_ngdc,68b260e1047,m0dccapmua,m0dccapmua,CAPMU,8.0.19,679c18e93b3,29000,mongod,primary,sh1_dcapmu,1,1
m0dccapmua,Cluster_0,shardsvr,m0dccapmua,uat_ngdc,68b260e1047,m0dccapmua,m0dccapmua,CAPMU,8.0.19,679c18e93b3,29000,mongod,secondary,sh2_dcapmu,2,1
m0dcepepya,Cluster_0,configsvr,m0dcepepya,uat_ngdc,6889b88db12,m0dcepepya,m0dcepepya,EPE_PAY,8.0.19,679c18e93b3,28000,config,primary,csrs_d0epepy,1,1
m0dcepepya,Cluster_0,configsvr,m0dcepepya,uat_ngdc,6889b88db12,m0dcepepya,m0dcepepya,EPE_PAY,8.0.19,679c18e93b3,28000,config,secondary,csrs_d0epepy,2,1
m0dcepepya,Cluster_0,mongos,m0dcepepya,uat_ngdc,6889b88db12,m0dcepepya,m0dcepepya,EPE_PAY,8.0.19,679c18e93b3,26000,mongos,none,none,,1
m0dcepepya,Cluster_0,shardsvr,m0dcepepya,uat_ngdc,6889b88db12,m0dcepepya,m0dcepepya,EPE_PAY,8.0.19,679c18e93b3,29000,mongod,primary,sh1_d0epepy,1,1
m0dcepepya,Cluster_0,shardsvr,m0dcepepya,uat_ngdc,6889b88db12,m0dcepepya,m0dcepepya,EPE_PAY,8.0.19,679c18e93b3,29000,mongod,secondary,sh2_d0epepy,2,1
m0dcepepya,Cluster_0,shardsvr,m0dcepepya,uat_ngdc,6889b88db12,m0dcepepya,m0dcepepya,EPE_PAY,8.0.19,679c18e93b3,29000,mongod,primary,sh1_d0epepy,1,1
m0dcepepya,Cluster_0,shardsvr,m0dcepepya,uat_ngdc,6889b88db12,m0dcepepya,m0dcepepya,EPE_PAY,8.0.19,679c18e93b3,29000,mongod,secondary,sh2_d0epepy,2,1
m0dr00pntaz,rs_d00pnt,shardsvr,m0dr00pntaz,uat_ngdc,6855b9527d5,m0dr00pntaz,m0dr00pntaz,PNT_DEV,8.0.19,679c18e93b3,29000,mongod,primary,rs_d00pnt,1,1
m0dr00pntaz,rs_d00pnt,shardsvr,m0dr00pntaz,uat_ngdc,6855b9527d5,m0dr00pntaz,m0dr00pntaz,PNT_DEV,8.0.19,679c18e93b3,29000,mongod,secondary,rs_d00pnt,2,1
m0dr01basaz,s01bas,shardsvr,m0dr01basaz,uat_legac,63d19801138,m0dr01basaz,m0dr01basaz,1BAS_SI,8.0.19,61773d84065,29000,mongod,primary,rs_s01bas,1,1
m0dr01basaz,s01bas,shardsvr,m0dr01basaz,uat_legac,63d19801138,m0dr01basaz,m0dr01basaz,1BAS_SI,8.0.19,61773d84065,29000,mongod,secondary,rs_s01bas,2,1
